Age,Frac_1,Frac_2,Frac_3,Frac_4,Frac_5,Frac_6,Frac_7,Frac_8,Frac_9
5.234238e-02,4.309619e-04,1.417965e-02,6.732224e-02,1.505337e-01,2.638032e-01,3.150491e-01,1.886812e-01,0.000000e+00,0.000000e+00
5.237378e-02,4.322521e-04,1.421203e-02,6.742542e-02,1.506581e-01,2.638567e-01,3.149230e-01,1.884925e-01,0.000000e+00,0.000000e+00
5.240517e-02,4.335451e-04,1.424447e-02,6.752867e-02,1.507823e-01,2.639101e-01,3.147968e-01,1.883040e-01,0.000000e+00,0.000000e+00
5.243657e-02,4.348411e-04,1.427695e-02,6.763197e-02,1.509065e-01,2.639633e-01,3.146706e-01,1.881158e-01,0.000000e+00,0.000000e+00
5.246797e-02,4.361401e-04,1.430948e-02,6.773534e-02,1.510307e-01,2.640163e-01,3.145444e-01,1.879277e-01,0.000000e+00,0.000000e+00
5.249937e-02,4.374420e-04,1.434206e-02,6.783877e-02,1.511548e-01,2.640691e-01,3.144181e-01,1.877398e-01,0.000000e+00,0.000000e+00
5.253077e-02,4.387470e-04,1.437469e-02,6.794226e-02,1.512788e-01,2.641218e-01,3.142917e-01,1.875520e-01,0.000000e+00,0.000000e+00
5.256217e-02,4.400549e-04,1.440737e-02,6.804581e-02,1.514028e-01,2.641742e-01,3.141652e-01,1.873645e-01,0.000000e+00,0.000000e+00
5.259357e-02,4.413659e-04,1.444010e-02,6.814942e-02,1.515267e-01,2.642265e-01,3.140387e-01,1.871772e-01,0.000000e+00,0.000000e+00
5.262497e-02,4.426798e-04,1.447288e-02,6.825310e-02,1.516505e-01,2.642786e-01,3.139122e-01,1.869900e-01,0.000000e+00,0.000000e+00
5.265637e-02,4.439966e-04,1.450571e-02,6.835683e-02,1.517743e-01,2.643306e-01,3.137855e-01,1.868030e-01,0.000000e+00,0.000000e+00
5.268777e-02,4.453165e-04,1.453858e-02,6.846062e-02,1.518981e-01,2.643823e-01,3.136589e-01,1.866162e-01,0.000000e+00,0.000000e+00
5.271917e-02,4.466393e-04,1.457150e-02,6.856448e-02,1.520217e-01,2.644339e-01,3.135321e-01,1.864296e-01,0.000000e+00,0.000000e+00
5.275057e-02,4.479651e-04,1.460448e-02,6.866839e-02,1.521453e-01,2.644853e-01,3.134053e-01,1.862432e-01,0.000000e+00,0.000000e+00
5.278196e-02,4.492938e-04,1.463750e-02,6.877237e-02,1.522689e-01,2.645365e-01,3.132784e-01,1.860570e-01,0.000000e+00,0.000000e+00
5.281336e-02,4.506256e-04,1.467057e-02,6.887640e-02,1.523924e-01,2.645876e-01,3.131515e-01,1.858710e-01,0.000000e+00,0.000000e+00
5.284476e-02,4.519604e-04,1.470369e-02,6.898050e-02,1.525158e-01,2.646384e-01,3.130245e-01,1.856851e-01,0.000000e+00,0.000000e+00
5.287616e-02,4.532982e-04,1.473685e-02,6.908466e-02,1.526391e-01,2.646891e-01,3.128975e-01,1.854995e-01,0.000000e+00,0.000000e+00
5.290756e-02,4.546390e-04,1.477007e-02,6.918887e-02,1.527624e-01,2.647396e-01,3.127704e-01,1.853140e-01,0.000000e+00,0.000000e+00
5.293896e-02,4.559827e-04,1.480334e-02,6.929315e-02,1.528857e-01,2.647900e-01,3.126432e-01,1.851287e-01,0.000000e+00,0.000000e+00
5.297036e-02,4.573297e-04,1.483665e-02,6.939749e-02,1.530088e-01,2.648401e-01,3.125160e-01,1.849436e-01,0.000000e+00,0.000000e+00
5.300176e-02,4.586797e-04,1.487002e-02,6.950188e-02,1.531320e-01,2.648901e-01,3.123887e-01,1.847586e-01,0.000000e+00,0.000000e+00
5.303316e-02,4.600327e-04,1.490343e-02,6.960634e-02,1.532550e-01,2.649399e-01,3.122614e-01,1.845739e-01,0.000000e+00,0.000000e+00
